0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
A Year Ago (Instrumental) - NEFFEX,1847.9759325014104,1166293.4865036302,1.0978694,33.3456,-4.286037e-05,1.7299142e-05,0.033964954,0.0023316883,178.20581896551724,0.4674025,0.15043853,0.54040825,0.12758546,0.488535,0.12817988,0.4903372,0.1398608,0.4646255,0.14047776,0.50977993,0.13708854,0.5078375,0.12837812,0.5323183,0.13623933,0.50017565,0.13723662,0.49796486,0.13013358,0.5092026,0.14718631,0.49893138,0.127066,0.54831874,0.14015934,0.50306267,0.12814443,0.5084759,0.13381666,0.5026973,0.12572166,0.51133573,0.14167634,0.50062686,0.13002442,0.50508165,0.12982377,0.5375007,0.15237504,0.50762147,0.15578172,0.52345675,0.16564687,0.5294903,0.16685514,0.48377246,0.157258,0.5099909,0.1600826,0.5089444,0.16509548,0.48232126,0.17293637,0.5761708,0.16460297,0.52239645,0.15664479,0.51582354,0.16172595,0.50364226,0.15433523,0.4836278,0.16804354,0.50125504,0.16627662,0.46905643,0.16590226,0.48080665,0.16008009,0.5144777,0.16097686,0.49253684,0.16378367,0.49698296,0.16428503,0.5364329,0.15807906,0.48182303,0.15393826,0.48592377,0.15878423,0.4943048,0.15324819,0.48132068,0.15379393,0.4901138,0.15335414,0.48541856,0.15390304,0.52175206,0.16577157,0.50189954,0.15388288,0.49337226,0.15757039
A Year Ago - NEFFEX,2665.269495552124,2651019.090930568,1.1330326,25.761393,-4.545397e-06,8.332425e-06,0.025309589,0.0031146973,117.45383522727272,0.5109508,0.14309298,0.49710763,0.14186071,0.516136,0.15374403,0.5122115,0.1379876,0.48783982,0.14515518,0.47190005,0.15765406,0.5088964,0.16130053,0.5147266,0.14764048,0.4803615,0.13455914,0.45932424,0.14298023,0.4952542,0.13174397,0.4699632,0.1315256,0.5073842,0.14481917,0.48404315,0.14079997,0.50229824,0.15342572,0.46047607,0.13175125,0.5134336,0.13776448,0.48860255,0.13740775,0.508344,0.13841705,0.521258,0.16063999,0.5158001,0.16120622,0.5324122,0.16205737,0.50733626,0.1634372,0.4654878,0.18036918,0.48746195,0.1696746,0.50382596,0.15674055,0.5239559,0.17388047,0.5370935,0.16121334,0.5285312,0.16968985,0.5024773,0.15639433,0.5621448,0.16199782,0.53151065,0.16302815,0.5130641,0.16027641,0.47742528,0.16345483,0.52449465,0.14663628,0.48825607,0.16009705,0.5042049,0.15072963,0.5511631,0.15129368,0.47685224,0.15953809,0.4885672,0.1713815,0.5076009,0.1515944,0.5479357,0.15702562,0.4743975,0.16574219,0.49940187,0.16993538,0.4917985,0.15302464,0.4841296,0.15271561,0.5444255,0.15525582,0.4944439,0.16663787
A Year Ago - NEFFEX,2890.324168113696,1471563.3734634437,1.7856138,64.27087,-2.7714079e-05,-6.40005e-05,0.06503128,0.006371854,178.20581896551724,0.5214428,0.13237217,0.518839,0.1353856,0.5114611,0.1352202,0.54267967,0.1354775,0.4705936,0.13694505,0.47554666,0.1385569,0.5149791,0.12808482,0.48568097,0.1478776,0.52342606,0.13508847,0.5368061,0.13367747,0.5246756,0.12468108,0.52154946,0.122569256,0.5310529,0.13663413,0.5245097,0.12980191,0.5174024,0.13828547,0.52859867,0.13383842,0.5078049,0.13080977,0.4938666,0.14000086,0.53123397,0.13439439,0.51846105,0.16760957,0.5466293,0.15091375,0.4862403,0.1496009,0.5065421,0.15993199,0.48745328,0.1652149,0.48680982,0.15878037,0.49960023,0.1673645,0.51818144,0.15204947,0.48985928,0.15668641,0.5050461,0.16796982,0.52408564,0.16409458,0.50660646,0.15569042,0.49382058,0.15976591,0.49377924,0.1609115,0.4515141,0.1705948,0.5074139,0.15543476,0.48244637,0.15827358,0.5451761,0.15255383,0.52486163,0.15592438,0.5177385,0.15397283,0.5096252,0.1573441,0.49848828,0.1646423,0.53586435,0.15698275,0.5131136,0.17410907,0.52043825,0.1634521,0.5252797,0.15740693,0.49404287,0.16560152,0.49339715,0.16943195,0.51689357,0.16260917
Addict (Instrumental) - NEFFEX,2120.075943040926,1639669.8435211657,1.0319258,41.50116,3.8474118e-05,0.0005984682,0.034057677,0.008439565,147.65625,0.0,0.0,0.0,0.0,0.51620704,0.14332311,0.51346326,0.13805968,0.5164863,0.14488105,0.5009934,0.14394583,0.49941763,0.13703461,0.51275384,0.13585249,0.48532268,0.13108498,0.485064,0.14044406,0.5140353,0.13968807,0.51273054,0.14749297,0.51939553,0.14723425,0.44131926,0.13724296,0.510472,0.13631405,0.50388277,0.122516535,0.4409514,0.13783135,0.5778318,0.120379455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4590353,0.16508436,0.4918558,0.16304865,0.5260694,0.15244484,0.49445432,0.16242392,0.50647336,0.16658032,0.503987,0.15742493,0.51870686,0.15978283,0.4846248,0.15516296,0.5198582,0.15301612,0.52238333,0.16563901,0.4896308,0.15881786,0.4878239,0.15864344,0.48436394,0.15008596,0.5302265,0.16685121,0.49416295,0.16974837,0.51783484,0.16763435,0.5151812,0.16249043,0.4733242,0.1630275,0.49244815,0.16195884,0.5423133,0.15737714,0.50401115,0.1663346,0.49727216,0.16652283,0.46045345,0.16182148,0.44704017,0.16185611,0.0,0.0,0.0,0.0
Addict (Instrumental) - NEFFEX,3064.343856619868,3129218.244773841,1.8484093,102.22648,-0.00021089593,-0.00022265373,0.11186153,0.009229322,151.99908088235293,0.4855255,0.13646683,0.4975879,0.14146002,0.5021452,0.13923328,0.51014143,0.13760847,0.46882877,0.14450724,0.48198363,0.13165255,0.5206636,0.1426829,0.51923674,0.13758014,0.49437174,0.13686125,0.49863547,0.13399588,0.5450087,0.14503431,0.48283952,0.13485067,0.5194668,0.14311863,0.5283596,0.14392382,0.536052,0.12762114,0.5279188,0.1330071,0.49516067,0.13659248,0.47672445,0.13651435,0.49678537,0.1503407,0.47962037,0.16536161,0.50556976,0.16274187,0.49492508,0.15917984,0.5231428,0.1724946,0.4720756,0.16021223,0.49343386,0.16229472,0.49416882,0.15273176,0.5143322,0.16074643,0.48149887,0.15501085,0.48616514,0.16373637,0.5331273,0.1576573,0.47922173,0.1568862,0.47990403,0.15452555,0.4740177,0.16015267,0.47571832,0.17107666,0.48688334,0.1587705,0.5139066,0.16687575,0.48397356,0.16300043,0.47303504,0.16924934,0.50119036,0.15958712,0.525597,0.17273729,0.49325362,0.15607102,0.52303666,0.15701477,0.4960381,0.15792376,0.5268613,0.15770696,0.47056293,0.1608799,0.4983224,0.16715384,0.4642338,0.16984856,0.4850107,0.15024996
Addict (Instrumental) - NEFFEX,3097.4936013743404,2600601.7707348363,1.8529838,88.29335,-0.00017738908,-0.00019632015,0.09177591,0.010898618,151.99908088235293,0.50522333,0.1338772,0.48703542,0.13874736,0.48091966,0.13516125,0.5057685,0.12617935,0.47529724,0.14442219,0.511654,0.13378666,0.50086623,0.13335705,0.53002095,0.1359303,0.51151145,0.13831623,0.5112617,0.13521251,0.4946968,0.1347613,0.52357864,0.1382172,0.49430427,0.13780366,0.502929,0.14340605,0.4775472,0.13122015,0.46991,0.12714168,0.51617736,0.1362469,0.53457236,0.13320504,0.49436352,0.15083402,0.49876508,0.1670751,0.49077407,0.17048073,0.50711334,0.16429295,0.45853466,0.1645154,0.46141768,0.15534107,0.49675626,0.15805253,0.5035611,0.15754385,0.48643464,0.16014495,0.48088318,0.1606415,0.5124303,0.16337636,0.47196683,0.1567621,0.52525806,0.15712163,0.4845333,0.17617972,0.50330335,0.15711258,0.5182242,0.16587968,0.5331396,0.15976024,0.52403367,0.16335863,0.5211104,0.16727816,0.48187938,0.16614978,0.502662,0.16354915,0.49695462,0.16302808,0.5072683,0.16654438,0.5190621,0.17062806,0.5136288,0.1567576,0.49742708,0.14575037,0.53858835,0.16309428,0.5256776,0.15974571,0.48328942,0.15230505,0.5074088,0.15595427
Addict - NEFFEX,2860.57497280222,2823013.471766136,1.7561423,55.418716,3.2186803e-05,0.00056200277,0.041047495,0.014185898,151.99908088235293,0.48659128,0.12530123,0.51078457,0.15577205,0.50244933,0.14127055,0.4744027,0.1317347,0.5013673,0.1440739,0.5067384,0.13191769,0.49039072,0.14418636,0.5134624,0.12704605,0.522514,0.13361019,0.51364684,0.14107329,0.49426666,0.13845508,0.5296351,0.15108663,0.5208692,0.14383568,0.4921849,0.14517729,0.4977776,0.13579316,0.48675525,0.13584648,0.49912438,0.13486706,0.54455173,0.12634988,0.5306477,0.13539235,0.5055411,0.15815699,0.50201005,0.15530595,0.49221104,0.16290654,0.47375497,0.16965619,0.48078233,0.16018656,0.46879172,0.15917711,0.51008844,0.16029426,0.47996658,0.1562195,0.5400422,0.15627536,0.5152993,0.16404606,0.4799389,0.18007332,0.49472278,0.16272806,0.5064837,0.16781369,0.53497154,0.15248972,0.5249626,0.17277342,0.53496134,0.16284433,0.49502534,0.15548259,0.49233848,0.16071916,0.51727533,0.15864983,0.49458376,0.15995006,0.51150274,0.16270551,0.46644336,0.16029659,0.501091,0.162824,0.5127951,0.16448167,0.49001965,0.17035416,0.48437682,0.16209447,0.5248132,0.15736243,0.5109643,0.16904278,0.5222057,0.1632787
Addict - NEFFEX,3490.1753498681023,2026136.9190767745,2.4059894,108.79417,-0.00033906684,-0.0002625078,0.11279821,0.013692656,151.99908088235293,0.51312625,0.13447581,0.5077831,0.14068744,0.5016502,0.14544931,0.49209398,0.14214686,0.5203035,0.14278406,0.495454,0.12929681,0.4951058,0.13823509,0.48030555,0.13339716,0.4918791,0.14028004,0.4851967,0.12686881,0.5057106,0.13630036,0.46543947,0.13763925,0.49635315,0.12973568,0.5133683,0.12845394,0.4824082,0.14053206,0.5020214,0.14599784,0.50937694,0.12771995,0.48893565,0.1349192,0.49797133,0.13865043,0.4874936,0.16412668,0.52193516,0.15965247,0.5086058,0.16244784,0.5143696,0.1634455,0.49431953,0.17076865,0.4939893,0.14622098,0.45876265,0.16410558,0.51936644,0.16117811,0.46625882,0.15689273,0.5007949,0.16652174,0.5316373,0.15422794,0.49116692,0.16191675,0.49863443,0.15093198,0.46475667,0.15486982,0.48674783,0.15144667,0.5070276,0.15711495,0.5520394,0.16209114,0.47333497,0.1685011,0.5041009,0.16021955,0.47074908,0.16511786,0.52282286,0.16455743,0.4786438,0.16645686,0.47235078,0.16518088,0.5042653,0.159246,0.527109,0.154276,0.5265738,0.163464,0.48847485,0.16536538,0.49182358,0.17371005,0.5151833,0.15556738
Addict - NEFFEX,3350.0806185496326,2356057.2847549445,2.2007525,94.65194,-7.726506e-05,-0.00023143299,0.09635847,0.012973641,74.89809782608695,0.46538433,0.13949871,0.46509275,0.13191937,0.51876587,0.13896015,0.49995512,0.13362338,0.52395225,0.13202219,0.4779136,0.13714682,0.5249216,0.1356089,0.5066295,0.12654258,0.51054937,0.13240726,0.4931859,0.13588862,0.5323302,0.13463391,0.5074402,0.13998385,0.51599795,0.1333561,0.48363537,0.13015048,0.50378215,0.12914757,0.48992208,0.13773209,0.5081465,0.1346516,0.51569533,0.1247467,0.5047707,0.13910007,0.5222557,0.15671685,0.46939367,0.16816014,0.48974743,0.16040944,0.50468636,0.15321697,0.5399137,0.15300791,0.5239837,0.15265928,0.5201871,0.15161775,0.4822878,0.16121452,0.51817244,0.15027472,0.49755615,0.15962696,0.4814228,0.1656197,0.48029,0.16054016,0.50269526,0.15714416,0.4859206,0.16254747,0.48040175,0.17148587,0.50178355,0.1667881,0.49733782,0.15934153,0.5221712,0.16319287,0.51017153,0.15303567,0.4857432,0.16023605,0.5122176,0.15769222,0.5074489,0.15859851,0.47537827,0.16014373,0.5424326,0.1632202,0.51120204,0.164557,0.5314239,0.16066971,0.49817318,0.16393454,0.5221631,0.16311774,0.47835922,0.14914837
Anomalous Hedges - Mini Vandals,765.3970902688094,100896.24120081702,0.54814655,16.735226,-2.5434545e-06,-6.673473e-05,0.019127095,0.00046410869,86.1328125,0.51672906,0.142477,0.49427822,0.13184902,0.50549173,0.13620739,0.49069402,0.13708071,0.4782661,0.13504575,0.48802865,0.15256418,0.50256664,0.13510205,0.48621184,0.13286468,0.4556381,0.13771756,0.49737713,0.1410744,0.47086537,0.13564971,0.49022645,0.12990484,0.52272743,0.14294942,0.506209,0.12960131,0.50535196,0.12954037,0.5314353,0.14608778,0.4675411,0.13944954,0.49902564,0.13203092,0.47308642,0.14113869,0.54167783,0.16404027,0.5237676,0.16081758,0.478298,0.16708644,0.51523817,0.16948494,0.51159894,0.1649636,0.5020627,0.1542969,0.5041563,0.17368488,0.5039524,0.1727463,0.5226568,0.16652551,0.5269762,0.1530679,0.51375,0.1596665,0.5085111,0.15958008,0.5120052,0.17247154,0.50456846,0.15770537,0.52588,0.15630503,0.51930404,0.1597194,0.4782065,0.17505768,0.531875,0.16044965,0.50997126,0.15969086,0.53359604,0.15225342,0.5139895,0.15241182,0.506832,0.1564395,0.5057292,0.16792989,0.514455,0.16567014,0.503432,0.15673639,0.5238594,0.15467939,0.5190646,0.15340869,0.4909802,0.17212138,0.50816697,0.16427822
