Bite Me (Clean) - NEFFEX,[0.16309051 0.22069952 0.28214058 ... 0.10490363 0.09459002 0.08182763]
Bite Me (Clean) - NEFFEX,[0.04843348 0.13634881 0.20101038 ... 0.41122794 0.39764148 0.34973562]
Bite Me (Instrumental) - NEFFEX,[0.00034867 0.13521084 0.21946618 ... 0.02988731 0.02786284 0.02306287]
Bite Me (Instrumental) - NEFFEX,[0.01773063 0.13958114 0.25045833 ... 0.00759566 0.00704235 0.00541889]
Bite Me (Instrumental) - NEFFEX,[0.00498672 0.13290115 0.19141456 ... 0.47919446 0.44626865 0.3948068 ]
Bite Me - NEFFEX,[0.19322106 0.32668185 0.40830222 ... 0.22073442 0.22235608 0.1974142 ]
Bite Me - NEFFEX,[0.27261877 0.40382475 0.49293783 ... 0.08567657 0.07523745 0.06246196]
Bite Me - NEFFEX,[0.2376858  0.39191976 0.47804305 ... 0.39821303 0.39009646 0.34258127]
Black Mass - Brian Bolger,[0.         0.0061413  0.02280915 ... 0.10144795 0.10076124 0.08483443]
Black Mass - Brian Bolger,[0.08149779 0.10279753 0.11618079 ... 0.16009155 0.15654549 0.14229563]
Blue Day - Freedom Trail Studio,"[2.5674039e-05 3.2286138e-05 3.7984202e-05 ... 2.8381175e-01 2.8014579e-01
 2.4430972e-01]"
Blue Day - Freedom Trail Studio,[0.25936237 0.3410356  0.37176996 ... 0.33292332 0.34340322 0.30323693]
Blue Mood - Robert Munzinger,[0.2522379  0.2753312  0.30151197 ... 0.08674589 0.08719137 0.07448566]
Blue Mood - Robert Munzinger,[0.1371343  0.15573144 0.16628458 ... 0.17378724 0.17291391 0.1619324 ]
Blue Mood - Robert Munzinger,[0.14570051 0.23879106 0.28069046 ... 0.13376911 0.13090725 0.10870343]
Blue Mood - Robert Munzinger,[0.12140437 0.142396   0.16442484 ... 0.24178812 0.23832245 0.20920059]
Blue Mood - Robert Munzinger,[0.1643978  0.21537837 0.24861538 ... 0.1353587  0.13368122 0.11458457]
Blue Mood - Robert Munzinger,[0.09581214 0.12004663 0.13403454 ... 0.01041048 0.01058414 0.00863048]
Bonfire - An Jone,[0.0019975  0.00250557 0.00285744 ... 0.23844485 0.22524518 0.18773061]
Bonfire - An Jone,[0.4361268  0.49884695 0.5339623  ... 0.13259606 0.15138409 0.12611173]
Bonfire - An Jone,[0.41205588 0.48731777 0.5683618  ... 0.09780848 0.08718193 0.08133131]
Bop Walker - Freedom Trail Studio,"[2.53375129e-05 3.23301210e-05 3.80709025e-05 ... 1.48009449e-01
 1.45669535e-01 1.23017505e-01]"
Bop Walker - Freedom Trail Studio,[0.09526297 0.11463987 0.12835929 ... 0.09494965 0.09878388 0.08662499]
Born a Rockstar (Instrumental) - NEFFEX,"[2.8410852e-06 1.5613828e-02 2.2322450e-02 ... 3.3943236e-01 3.3501044e-01
 2.6316544e-01]"
Born a Rockstar (Instrumental) - NEFFEX,[0.22361065 0.2869436  0.31912556 ... 0.4480555  0.4186138  0.37106517]
Born a Rockstar (Instrumental) - NEFFEX,[0.32223147 0.38162303 0.4472321  ... 0.33376142 0.3328969  0.30669105]
Born a Rockstar - NEFFEX,[0.02274099 0.02670721 0.02992778 ... 0.3389134  0.33432177 0.29255956]
Born a Rockstar - NEFFEX,[0.24047472 0.2901091  0.33760634 ... 0.3920673  0.4247439  0.3556198 ]
Born a Rockstar - NEFFEX,[0.25873333 0.35392213 0.3807027  ... 0.31094024 0.30614683 0.26499656]
Break Your Lock and Key - Mini Vandals,"[1.8905857e-05 3.5274672e-05 4.5017568e-05 ... 2.7135712e-01 2.5472400e-01
 2.0909728e-01]"
Break Your Lock and Key - Mini Vandals,[0.18614486 0.2276442  0.25064757 ... 0.21363357 0.19950485 0.16375695]
Breatha - josh pan,[0.13333929 0.18206233 0.22123797 ... 0.3588754  0.36485568 0.30853254]
Breatha - josh pan,[0.27651456 0.3263943  0.4102741  ... 0.07462008 0.07557287 0.06788501]
Breatha - josh pan,[0.13451704 0.18829714 0.23538575 ... 0.029607   0.01783936 0.00147959]
Breeze - Telecasted,"[2.1895862e-04 2.4425212e-04 2.9296899e-04 ... 2.9490608e-01 3.0173621e-01
 2.4092063e-01]"
Breeze - Telecasted,[0.18695605 0.24511538 0.29559296 ... 0.24929991 0.23887213 0.20240025]
