Believe (Instrumental) - NEFFEX,[0.01382196 0.01297032 0.00586139 ... 0.22252148 0.23763855 0.1837535 ]
Believe - NEFFEX,"[ 2.8353903e-05  4.6988891e-05  4.8603626e-05 ... -4.2798542e-03
 -5.3570489e-03 -8.7476596e-03]"
Believe - NEFFEX,"[ 0.01408951  0.03028988  0.03389391 ... -0.04399849 -0.0865411
 -0.06576656]"
Birdseye Blues - Chris Haugen,"[-3.4551416e-05 -3.8376988e-05 -5.0051320e-05 ...  9.1903415e-03
  3.4154532e-03  5.1402068e-03]"
Bite Me (Clean) - NEFFEX,"[-0.00024721 -0.00027422 -0.00028122 ... -0.01263607 -0.00233521
 -0.01920554]"
Bite Me (Clean) - NEFFEX,"[-0.05883986 -0.02796524 -0.03957027 ...  0.05038838  0.05452198
  0.0365531 ]"
Bite Me (Clean) - NEFFEX,"[ 0.00230083 -0.00897853  0.01377137 ... -0.04490095  0.06235327
  0.19067062]"
Bite Me (Instrumental) - NEFFEX,"[-0.00032649 -0.00038416 -0.00042754 ... -0.0033308  -0.00160304
 -0.00038335]"
Bite Me (Instrumental) - NEFFEX,"[-2.3822466e-05  8.2425622e-04  2.5559423e-04 ...  1.0921311e-03
  2.3933683e-04 -1.0151986e-03]"
Bite Me (Instrumental) - NEFFEX,"[-0.00102244 -0.00062684 -0.00098706 ...  0.05136257  0.04242037
  0.06216748]"
Bite Me - NEFFEX,"[ 0.02749093  0.02692196  0.02442526 ... -0.40136394 -0.2552957
 -0.26232314]"
Bite Me - NEFFEX,"[-0.32654318 -0.22426456 -0.20425864 ...  0.00138049 -0.02350631
 -0.00345801]"
Bite Me - NEFFEX,[0.05663695 0.04868767 0.06606147 ... 0.0664022  0.06328517 0.09177037]
Black Mass - Brian Bolger,"[-2.8721654e-08 -3.4818662e-08 -3.0584399e-08 ... -1.4892949e-02
 -1.6704502e-02 -1.8616954e-02]"
Black Mass - Brian Bolger,[0.02600283 0.03161782 0.03555409 ... 0.01605558 0.02983534 0.05628537]
Blue Day - Freedom Trail Studio,"[ 1.0499694e-05 -6.4986179e-06 -2.7685028e-06 ... -1.4218016e-01
 -9.7134784e-02 -1.7284299e-01]"
Blue Day - Freedom Trail Studio,"[-0.18859287 -0.07711281 -0.04270055 ... -0.05664504 -0.03886351
 -0.07031982]"
Blue Mood - Robert Munzinger,"[ 0.01423059  0.01458402  0.01436002 ... -0.25192752 -0.1766355
 -0.11195844]"
Blue Mood - Robert Munzinger,"[-0.17833707 -0.14315304 -0.05455197 ... -0.00546206 -0.0075201
 -0.01227986]"
Blue Mood - Robert Munzinger,"[-0.00264022 -0.00689156 -0.01365149 ... -0.02552105  0.00025769
 -0.01867957]"
Blue Mood - Robert Munzinger,"[-0.04804279 -0.02048876 -0.05685716 ... -0.02266923 -0.02235741
 -0.01981613]"
Blue Mood - Robert Munzinger,"[-0.01806606 -0.01934478 -0.01926095 ... -0.02636764 -0.02756514
 -0.01566796]"
Blue Mood - Robert Munzinger,[0.03582688 0.02409354 0.04252802 ... 0.00024924 0.00079616 0.00147945]
Bonfire - An Jone,"[-0.00041868 -0.00034537 -0.00031289 ... -0.06588835 -0.08164042
 -0.10404987]"
Bonfire - An Jone,"[-0.26548916 -0.24269408 -0.22693908 ...  0.04754464  0.06334697
  0.09128438]"
Bonfire - An Jone,[0.06765648 0.05685128 0.04669197 ... 0.00690621 0.01044891 0.01495119]
Bop Walker - Freedom Trail Studio,"[ 7.8731472e-07  3.0494948e-06 -2.8163572e-06 ... -3.3734776e-02
 -2.5307039e-02 -2.1497712e-02]"
Bop Walker - Freedom Trail Studio,[0.01424454 0.02316299 0.02138682 ... 0.00224228 0.00400369 0.01089136]
Born a Rockstar (Instrumental) - NEFFEX,"[7.8051096e-05 7.6844990e-05 6.4865140e-05 ... 1.2236668e-01 9.4756998e-02
 8.7943643e-02]"
Born a Rockstar (Instrumental) - NEFFEX,"[ 0.22949354  0.18766446  0.20701262 ...  0.01366944  0.00648439
 -0.06399754]"
Born a Rockstar (Instrumental) - NEFFEX,"[-0.13969043 -0.09089943 -0.07411969 ...  0.11394136  0.12101781
  0.11521541]"
Born a Rockstar - NEFFEX,[0.00648662 0.00913481 0.01021127 ... 0.11549628 0.04587176 0.11529525]
